monitor_rand-1000-10000 1000 10000 10507 0.45 0.55 243.609375 None
monitor_rand-1000-5000 1000 5000 10802 0.45 0.5 128.8984375 None
monitor_rand-1500-5000 1500 5000 19683 0.48 0.56 192.09375 None
monitor_rand-1500-500 1500 500 15417 0.8 0.83 27.35546875 None
monitor_rand-500-20000 500 20000 4648 0.43 0.56 228.10546875 None
monitor_rand-1000-500 1000 500 10862 0.28 0.31 20.9375 None
monitor_rand-500-15000 500 15000 5596 0.48 0.58 176.3125 None
monitor_rand-500-5000 500 5000 4968 0.07 0.1 65.40625 None
monitor_rand-1500-20000 1500 20000 15736 0.94 1.17 700.52734375 None
monitor_rand-500-10000 500 10000 5184 0.15 0.19 124.31640625 None
monitor_rand-1000-15000 1000 15000 10946 1.02 1.19 354.78125 None
monitor_rand-2000-5000 2000 5000 20966 1.3 1.43 251.09375 None
monitor_rand-1000-20000 1000 20000 10305 1.46 1.65 465.4921875 None
monitor_rand-2000-500 2000 500 21905 1.76 1.8 39.11328125 None
monitor_rand-1500-10000 1500 10000 16248 1.83 2.07 362.734375 None
monitor_rand-1500-15000 1500 15000 16290 2.14 2.31 529.921875 None
monitor_rand-2000-15000 2000 15000 21969 2.29 2.55 709.01171875 None
monitor_rand-2000-10000 2000 10000 21223 3.14 3.41 483.0390625 None
monitor_rand-2000-20000 2000 20000 21952 2.64 3.04 938.67578125 None
monitor_rand-2500-5000 2500 5000 26237 3.36 3.55 312.99609375 None
monitor_rand-2500-15000 2500 15000 25609 2.95 3.29 882.13671875 None
monitor_rand-2500-500 2500 500 26932 3.32 3.36 45.4140625 None
monitor_rand-500-500 500 500 4556 0.05 0.05 10.60546875 None
monitor_rand-2500-10000 2500 10000 26135 3.61 3.84 600.79296875 None
monitor_rand-3000-500 3000 500 33259 4.19 4.25 60.50390625 None
monitor_rand-3000-5000 3000 5000 36912 3.86 4.08 377.95703125 None
monitor_rand-2500-20000 2500 20000 27493 4.19 4.73 1171.3203125 None
monitor_rand-3000-20000 3000 20000 35006 5.25 5.81 1404.76953125 None
monitor_rand-3000-15000 3000 15000 32883 5.17 5.7 1061.2421875 None
monitor_rand-500-20000 500 20000 4914 0.22 0.33 236.48046875 None
monitor_rand-1000-10000 1000 10000 11311 0.33 0.42 243.96875 None
monitor_rand-500-10000 500 10000 4548 0.17 0.23 122.96875 None
monitor_rand-500-15000 500 15000 5692 0.14 0.21 174.50390625 None
monitor_rand-1500-10000 1500 10000 15311 0.65 0.75 362.17578125 None
monitor_rand-1500-500 1500 500 16390 0.78 0.78 32.28125 None
monitor_rand-1000-5000 1000 5000 11759 0.53 0.6 128.90625 None
monitor_rand-1000-20000 1000 20000 10670 0.7 0.92 463.2421875 None
monitor_rand-2000-500 2000 500 21432 1.2 1.23 36.92578125 None
monitor_rand-1500-15000 1500 15000 15777 0.93 1.08 528.69140625 None
monitor_rand-500-5000 500 5000 5148 0.17 0.22 65.44921875 None
monitor_rand-1000-15000 1000 15000 10681 0.67 0.82 354.80078125 None
monitor_rand-500-500 500 500 5223 0.06 0.07 11.171875 None
monitor_rand-2500-10000 2500 10000 31517 2.25 2.49 602.1796875 None
monitor_rand-1500-5000 1500 5000 15313 1.26 1.33 188.5234375 None
monitor_rand-1000-500 1000 500 11265 0.17 0.17 19.88671875 None
monitor_rand-1500-20000 1500 20000 17054 0.97 1.19 701.40234375 None
monitor_rand-2000-5000 2000 5000 21301 1.32 1.39 251.55078125 None
monitor_rand-2000-15000 2000 15000 23971 1.67 1.9 711.04296875 None
monitor_rand-2500-500 2500 500 30839 1.92 1.94 46.21875 None
monitor_rand-2000-20000 2000 20000 21196 1.88 2.19 933.984375 None
monitor_rand-2000-10000 2000 10000 21358 1.85 2.09 483.56640625 None
monitor_rand-2500-15000 2500 15000 28114 2.54 2.92 885.06640625 None
monitor_rand-3000-500 3000 500 34409 3.05 3.11 62.40234375 None
monitor_rand-2500-5000 2500 5000 29126 2.78 2.93 313.1953125 None
monitor_rand-3000-5000 3000 5000 33986 3.23 3.41 376.76953125 None
monitor_rand-500-20000 500 20000 5090 0.65 0.77 234.9453125 None
monitor_rand-1500-500 1500 500 17906 0.92 0.94 33.671875 None
monitor_rand-1000-5000 1000 5000 11510 0.75 0.83 127.8046875 None
monitor_rand-1000-500 1000 500 11446 0.51 0.54 19.859375 None
monitor_rand-500-15000 500 15000 5232 0.38 0.48 178.2578125 None
monitor_rand-1500-5000 1500 5000 16907 1.12 1.23 191.38671875 None
monitor_rand-1000-10000 1000 10000 10920 1.15 1.28 243.34375 None
monitor_rand-1000-20000 1000 20000 11227 1.21 1.45 470.09765625 None
monitor_rand-500-10000 500 10000 4819 0.29 0.37 124.0859375 None
monitor_rand-1000-15000 1000 15000 11394 0.96 1.12 355.4765625 None
monitor_rand-1500-15000 1500 15000 16564 1.77 2.01 532.31640625 None
monitor_rand-2000-500 2000 500 21910 1.98 2.02 38.53125 None
